"","indiv","Block","Col","Row","Population","Family","TempTrt","WaterTrt","variable","LLL","Day","DayN"
"1105","420","MM7-5","H","3","Grade Road Palomar","GRP3","Cool","Dry","LLL_0515",6.49,2014-05-15,3
"1106","421","MM7-5","I","3","Hauser Creek","HAU1","Cool","Dry","LLL_0515",4.75,2014-05-15,3
"1107","423","MM7-5","K","3","Middle Yuba","MYU1","Cool","Dry","LLL_0515",5.39,2014-05-15,3
"1108","424","MM7-5","L","3","Mill Creek","MIL1","Cool","Dry","LLL_0515",1.33,2014-05-15,3
"1109","425","MM7-5","M","3","North Fork Middle Tule","NMT5","Cool","Dry","LLL_0515",4.05,2014-05-15,3
"1110","426","MM7-5","N","3","Paradise Creek","PRD3","Cool","Dry","LLL_0515",1.75,2014-05-15,3
"1111","427","MM7-5","A","4","Rainbow Pool","RBW3","Cool","Dry","LLL_0515",6.15,2014-05-15,3
"1112","428","MM7-5","B","4","Redwood Creek","RWD1","Cool","Dry","LLL_0515",2.59,2014-05-15,3
"1114","430","MM7-5","D","4","Wawona","192aC2","Cool","Dry","LLL_0515",3.8,2014-05-15,3
"1115","431","MM7-5","E","4","West Fork Mojave River","WFM9","Cool","Dry","LLL_0515",5.16,2014-05-15,3
"1116","432","MM7-5","F","4","Whitewater Canyon","WWC3","Cool","Dry","LLL_0515",3.25,2014-05-15,3
"1117","433","MM7-5","G","4","Cottonwood Creek","346a","Cool","Dry","LLL_0515",3.95,2014-05-15,3
"1118","434","MM7-5","H","4","Cuyamaca Rancho","CUR7","Cool","Dry","LLL_0515",5.05,2014-05-15,3
"1119","435","MM7-5","I","4","Deep Creek","DPC5","Cool","Dry","LLL_0515",2.37,2014-05-15,3
"1120","436","MM7-5","J","4","Grade Road Palomar","GRP1","Cool","Dry","LLL_0515",3.61,2014-05-15,3
"1121","437","MM7-5","K","4","Hauser Creek","HAU11","Cool","Dry","LLL_0515",2.42,2014-05-15,3
"1124","440","MM7-5","N","4","Mill Creek","MIL9","Cool","Dry","LLL_0515",5.54,2014-05-15,3
"1126","443","MM7-5","C","5","Rainbow Pool","RBW3","Cool","Dry","LLL_0515",1.88,2014-05-15,3
"1127","445","MM7-5","E","5","Rock Creek","012aN1","Cool","Dry","LLL_0515",2.2,2014-05-15,3
"1129","448","MM7-5","H","5","Whitewater Canyon","WWC7","Cool","Dry","LLL_0515",4.13,2014-05-15,3
"1130","449","MM7-5","I","5","Cottonwood Creek","370a","Cool","Dry","LLL_0515",7.5,2014-05-15,3
"1131","450","MM7-5","J","5","Cuyamaca Rancho","CUR5","Cool","Dry","LLL_0515",3.07,2014-05-15,3
"1132","451","MM7-5","K","5","Deep Creek","DPC3","Cool","Dry","LLL_0515",1.3,2014-05-15,3
"1133","452","MM7-5","L","5","Grade Road Palomar","GRP5","Cool","Dry","LLL_0515",2.71,2014-05-15,3
"1134","453","MM7-5","M","5","Hauser Creek","HAU9","Cool","Dry","LLL_0515",3.05,2014-05-15,3
"1136","455","MM7-5","A","6","Middle Yuba","MYU1","Cool","Dry","LLL_0515",8.06,2014-05-15,3
"1137","456","MM7-5","B","6","Mill Creek","MIL7","Cool","Dry","LLL_0515",5.38,2014-05-15,3
"1138","457","MM7-5","C","6","North Fork Middle Tule","NMT2","Cool","Dry","LLL_0515",4.83,2014-05-15,3
"1139","458","MM7-5","D","6","Paradise Creek","PRD3","Cool","Dry","LLL_0515",1.89,2014-05-15,3
"1140","459","MM7-5","E","6","Rainbow Pool","RBW3","Cool","Dry","LLL_0515",4.92,2014-05-15,3
"1141","460","MM7-5","F","6","Redwood Creek","RWD7","Cool","Dry","LLL_0515",1.31,2014-05-15,3
"1143","463","MM7-5","I","6","West Fork Mojave River","WFM3","Cool","Dry","LLL_0515",3.22,2014-05-15,3
"1144","464","MM7-5","J","6","Whitewater Canyon","WWC5","Cool","Dry","LLL_0515",6.24,2014-05-15,3
"1145","465","MM7-5","K","6","Cottonwood Creek","355a","Cool","Dry","LLL_0515",8.56,2014-05-15,3
"1146","466","MM7-5","L","6","Cuyamaca Rancho","CUR3","Cool","Dry","LLL_0515",4.37,2014-05-15,3
"1147","467","MM7-5","M","6","Deep Creek","DPC1","Cool","Dry","LLL_0515",5.79,2014-05-15,3
"1148","468","MM7-5","A","7","Hauser Creek","HAU7","Cool","Dry","LLL_0515",2.99,2014-05-15,3
"1149","469","MM7-5","B","7","Little Jameson","LIJ5","Cool","Dry","LLL_0515",5.03,2014-05-15,3
"1150","470","MM7-5","D","7","Mill Creek","MIL5","Cool","Dry","LLL_0515",4.85,2014-05-15,3
"1151","471","MM7-5","E","7","North Fork Middle Tule","NMT4","Cool","Dry","LLL_0515",4.21,2014-05-15,3
"1152","473","MM7-5","G","7","Rainbow Pool","RBW1","Cool","Dry","LLL_0515",5.08,2014-05-15,3
"1153","474","MM7-5","H","7","Redwood Creek","RWD4","Cool","Dry","LLL_0515",3.14,2014-05-15,3
"1154","475","MM7-5","I","7","Rock Creek","009aN1","Cool","Dry","LLL_0515",2.21,2014-05-15,3
"1155","476","MM7-5","J","7","Wawona","188aC2","Cool","Dry","LLL_0515",4.39,2014-05-15,3
"1156","477","MM7-5","K","7","West Fork Mojave River","WFM7","Cool","Dry","LLL_0515",6.86,2014-05-15,3
"1157","480","MM7-5","L","7","Whitewater Canyon","WWC1","Cool","Dry","LLL_0515",3.28,2014-05-15,3
"1158","481","MM7-6","A","1","Cuyamaca Rancho","CUR12","Cool","Dry","LLL_0515",1.8,2014-05-15,3
"1159","482","MM7-6","B","1","Deep Creek","DPC2","Cool","Dry","LLL_0515",0.66,2014-05-15,3
"1160","483","MM7-6","C","1","Grade Road Palomar","GRP6","Cool","Dry","LLL_0515",3.1,2014-05-15,3
"1161","485","MM7-6","E","1","Little Jameson","LIJ8","Cool","Dry","LLL_0515",3,2014-05-15,3
"1162","486","MM7-6","F","1","Middle Yuba","MYU6","Cool","Dry","LLL_0515",0.59,2014-05-15,3
"1163","488","MM7-6","H","1","North Fork Middle Tule","NMT1","Cool","Dry","LLL_0515",5.82,2014-05-15,3
"1164","489","MM7-6","I","1","Paradise Creek","PRD4","Cool","Dry","LLL_0515",0.54,2014-05-15,3
"1165","490","MM7-6","J","1","Rainbow Pool","RBW2","Cool","Dry","LLL_0515",2.7,2014-05-15,3
"1166","491","MM7-6","K","1","Redwood Creek","RWD5","Cool","Dry","LLL_0515",3.93,2014-05-15,3
"1167","493","MM7-6","M","1","Wawona","183aC2","Cool","Dry","LLL_0515",3.09,2014-05-15,3
"1168","494","MM7-6","N","1","West Fork Mojave River","WFM10","Cool","Dry","LLL_0515",3.59,2014-05-15,3
"1169","495","MM7-6","A","2","Whitewater Canyon","WWC4","Cool","Dry","LLL_0515",2.41,2014-05-15,3
"1170","496","MM7-6","B","2","Cottonwood Creek","349a","Cool","Dry","LLL_0515",9.16,2014-05-15,3
"1171","497","MM7-6","C","2","Cuyamaca Rancho","CUR6","Cool","Dry","LLL_0515",1.7,2014-05-15,3
"1172","498","MM7-6","D","2","Deep Creek","DPC4","Cool","Dry","LLL_0515",1.58,2014-05-15,3
"1173","499","MM7-6","E","2","Grade Road Palomar","GRP4","Cool","Dry","LLL_0515",4.7,2014-05-15,3
"1174","500","MM7-6","F","2","Hauser Creek","HAU6","Cool","Dry","LLL_0515",6.25,2014-05-15,3
"1177","503","MM7-6","I","2","Mill Creek","MIL12","Cool","Dry","LLL_0515",6.26,2014-05-15,3
"1178","504","MM7-6","J","2","North Fork Middle Tule","NMT4","Cool","Dry","LLL_0515",4.61,2014-05-15,3
"1179","506","MM7-6","L","2","Rainbow Pool","RBW4","Cool","Dry","LLL_0515",3.03,2014-05-15,3
"1180","507","MM7-6","M","2","Redwood Creek","RWD8","Cool","Dry","LLL_0515",4.37,2014-05-15,3
"1181","509","MM7-6","A","3","Wawona","185aC2","Cool","Dry","LLL_0515",4.35,2014-05-15,3
"1183","511","MM7-6","C","3","Whitewater Canyon","WWC12","Cool","Dry","LLL_0515",3.65,2014-05-15,3
"1184","512","MM7-6","D","3","Cottonwood Creek","361a","Cool","Dry","LLL_0515",3.43,2014-05-15,3
"1185","513","MM7-6","E","3","Cuyamaca Rancho","CUR8","Cool","Dry","LLL_0515",2.78,2014-05-15,3
"1186","514","MM7-6","F","3","Deep Creek","DPC2","Cool","Dry","LLL_0515",1.97,2014-05-15,3
"1187","515","MM7-6","G","3","Grade Road Palomar","GRP4","Cool","Dry","LLL_0515",7.04,2014-05-15,3
"1188","516","MM7-6","H","3","Hauser Creek","HAU4","Cool","Dry","LLL_0515",4.29,2014-05-15,3
"1189","517","MM7-6","I","3","Little Jameson","LIJ10","Cool","Dry","LLL_0515",3.62,2014-05-15,3
"1190","518","MM7-6","J","3","Middle Yuba","MYU4","Cool","Dry","LLL_0515",7.17,2014-05-15,3
"1191","519","MM7-6","K","3","Mill Creek","MIL4","Cool","Dry","LLL_0515",4.24,2014-05-15,3
"1192","520","MM7-6","L","3","North Fork Middle Tule","NMT3","Cool","Dry","LLL_0515",3.79,2014-05-15,3
"1193","522","MM7-6","N","3","Rainbow Pool","RBW2","Cool","Dry","LLL_0515",4.53,2014-05-15,3
"1194","523","MM7-6","A","4","Redwood Creek","RWD10","Cool","Dry","LLL_0515",3.85,2014-05-15,3
"1195","524","MM7-6","B","4","Rock Creek","002aN1","Cool","Dry","LLL_0515",6.3,2014-05-15,3
"1196","526","MM7-6","D","4","West Fork Mojave River","WFM6","Cool","Dry","LLL_0515",2.73,2014-05-15,3
"1197","527","MM7-6","E","4","Whitewater Canyon","WWC2","Cool","Dry","LLL_0515",2.47,2014-05-15,3
"1198","528","MM7-6","F","4","Cottonwood Creek","348a","Cool","Dry","LLL_0515",2.3,2014-05-15,3
"1199","529","MM7-6","G","4","Cuyamaca Rancho","CUR2","Cool","Dry","LLL_0515",2.8,2014-05-15,3
"1200","532","MM7-6","J","4","Hauser Creek","HAU2","Cool","Dry","LLL_0515",1.68,2014-05-15,3
"1201","533","MM7-6","K","4","Little Jameson","LIJ12","Cool","Dry","LLL_0515",6,2014-05-15,3
"1202","534","MM7-6","L","4","Middle Yuba","MYU2","Cool","Dry","LLL_0515",4.01,2014-05-15,3
"1203","535","MM7-6","M","4","Mill Creek","MIL2","Cool","Dry","LLL_0515",1.97,2014-05-15,3
"1205","537","MM7-6","A","5","Paradise Creek","PRD2","Cool","Dry","LLL_0515",5.82,2014-05-15,3
"1206","538","MM7-6","B","5","Rainbow Pool","RBW4","Cool","Dry","LLL_0515",5.4,2014-05-15,3
"1207","539","MM7-6","C","5","Redwood Creek","RWD1","Cool","Dry","LLL_0515",0.74,2014-05-15,3
"1209","541","MM7-6","E","5","Wawona","189aC2","Cool","Dry","LLL_0515",5.14,2014-05-15,3
"1210","542","MM7-6","F","5","West Fork Mojave River","WFM12","Cool","Dry","LLL_0515",3,2014-05-15,3
"1211","543","MM7-6","G","5","Whitewater Canyon","WWC8","Cool","Dry","LLL_0515",2.26,2014-05-15,3
"1212","544","MM7-6","H","5","Cottonwood Creek","371a","Cool","Dry","LLL_0515",5.13,2014-05-15,3
"1213","545","MM7-6","I","5","Cuyamaca Rancho","CUR10","Cool","Dry","LLL_0515",2.92,2014-05-15,3
"1214","547","MM7-6","K","5","Grade Road Palomar","GRP2","Cool","Dry","LLL_0515",7.3,2014-05-15,3
"1215","548","MM7-6","L","5","Hauser Creek","HAU8","Cool","Dry","LLL_0515",6.45,2014-05-15,3
"1217","550","MM7-6","N","5","Middle Yuba","MYU4","Cool","Dry","LLL_0515",3.15,2014-05-15,3
"1218","551","MM7-6","A","6","Mill Creek","MIL6","Cool","Dry","LLL_0515",6.85,2014-05-15,3
"1219","552","MM7-6","B","6","North Fork Middle Tule","NMT7","Cool","Dry","LLL_0515",2.19,2014-05-15,3
"1220","553","MM7-6","C","6","Paradise Creek","PRD7","Cool","Dry","LLL_0515",11.11,2014-05-15,3
"1221","554","MM7-6","D","6","Rainbow Pool","RBW2","Cool","Dry","LLL_0515",3.19,2014-05-15,3
"1222","555","MM7-6","E","6","Redwood Creek","RWD2","Cool","Dry","LLL_0515",3,2014-05-15,3
"1223","556","MM7-6","F","6","Rock Creek","007aN1","Cool","Dry","LLL_0515",4.98,2014-05-15,3
"1224","557","MM7-6","G","6","Wawona","187aC2","Cool","Dry","LLL_0515",1.42,2014-05-15,3
"1225","558","MM7-6","H","6","West Fork Mojave River","WFM2","Cool","Dry","LLL_0515",3.25,2014-05-15,3
"1226","559","MM7-6","I","6","Whitewater Canyon","WWC10","Cool","Dry","LLL_0515",3.3,2014-05-15,3
"1227","560","MM7-6","J","6","Cottonwood Creek","362a","Cool","Dry","LLL_0515",1.47,2014-05-15,3
"1228","561","MM7-6","K","6","Cuyamaca Rancho","CUR4","Cool","Dry","LLL_0515",4.97,2014-05-15,3
"1229","562","MM7-6","L","6","Deep Creek","DPC6","Cool","Dry","LLL_0515",1.96,2014-05-15,3
"1230","563","MM7-6","M","6","Grade Road Palomar","GRP2","Cool","Dry","LLL_0515",9.23,2014-05-15,3
"1231","564","MM7-6","N","6","Hauser Creek","HAU12","Cool","Dry","LLL_0515",5.08,2014-05-15,3
"1232","565","MM7-6","B","7","Middle Yuba","MYU2","Cool","Dry","LLL_0515",5.83,2014-05-15,3
"1233","567","MM7-6","D","7","North Fork Middle Tule","NMT5","Cool","Dry","LLL_0515",8.04,2014-05-15,3
"1234","568","MM7-6","G","7","Redwood Creek","RWD7","Cool","Dry","LLL_0515",1.84,2014-05-15,3
"1235","569","MM7-6","H","7","Rock Creek","015aN1","Cool","Dry","LLL_0515",2.39,2014-05-15,3
"1236","570","MM7-6","I","7","Wawona","191aC2","Cool","Dry","LLL_0515",6.1,2014-05-15,3
"1237","571","MM7-6","J","7","West Fork Mojave River","WFM8","Cool","Dry","LLL_0515",5.37,2014-05-15,3
"1238","572","MM7-6","K","7","Whitewater Canyon","WWC6","Cool","Dry","LLL_0515",6.36,2014-05-15,3
"1239","573","MM7-6","L","7","Cottonwood Creek","364a","Cool","Dry","LLL_0515",2.98,2014-05-15,3
"1240","574","MM7-6","A","7","Little Jameson","LIJ2","Cool","Dry","LLL_0515",2.99,2014-05-15,3
"1241","577","MM7-7","A","1","Grade Road Palomar","GRP5","Cool","Wet","LLL_0515",5.32,2014-05-15,3
"1242","578","MM7-7","B","1","Hauser Creek","HAU3","Cool","Wet","LLL_0515",1.61,2014-05-15,3
"1243","579","MM7-7","C","1","Little Jameson","LIJ7","Cool","Wet","LLL_0515",2.18,2014-05-15,3
"1244","580","MM7-7","D","1","Middle Yuba","MYU1","Cool","Wet","LLL_0515",0.79,2014-05-15,3
"1245","582","MM7-7","F","1","North Fork Middle Tule","NMT1","Cool","Wet","LLL_0515",3.78,2014-05-15,3
"1247","584","MM7-7","H","1","Rainbow Pool","RBW1","Cool","Wet","LLL_0515",6.27,2014-05-15,3
"1248","585","MM7-7","I","1","Redwood Creek","RWD4","Cool","Wet","LLL_0515",3.41,2014-05-15,3
"1249","586","MM7-7","J","1","Rock Creek","012aN1","Cool","Wet","LLL_0515",4.86,2014-05-15,3
"1250","587","MM7-7","K","1","Wawona","186aC2","Cool","Wet","LLL_0515",4.72,2014-05-15,3
"1251","588","MM7-7","L","1","West Fork Mojave River","WFM11","Cool","Wet","LLL_0515",4.93,2014-05-15,3
"1253","590","MM7-7","N","1","Cottonwood Creek","346a","Cool","Wet","LLL_0515",2.13,2014-05-15,3
"1254","591","MM7-7","A","2","Cuyamaca Rancho","CUR3","Cool","Wet","LLL_0515",3.94,2014-05-15,3
"1255","593","MM7-7","C","2","Grade Road Palomar","GRP1","Cool","Wet","LLL_0515",3.88,2014-05-15,3
"1256","594","MM7-7","D","2","Hauser Creek","HAU5","Cool","Wet","LLL_0515",1.03,2014-05-15,3
"1259","597","MM7-7","G","2","Mill Creek","MIL1","Cool","Wet","LLL_0515",3.91,2014-05-15,3
"1260","598","MM7-7","H","2","North Fork Middle Tule","NMT4","Cool","Wet","LLL_0515",6.33,2014-05-15,3
"1261","599","MM7-7","I","2","Paradise Creek","PRD3","Cool","Wet","LLL_0515",2.73,2014-05-15,3
"1262","600","MM7-7","J","2","Rainbow Pool","RBW1","Cool","Wet","LLL_0515",7.1,2014-05-15,3
"1263","601","MM7-7","K","2","Redwood Creek","RWD7","Cool","Wet","LLL_0515",2.69,2014-05-15,3
"1264","602","MM7-7","L","2","Rock Creek","001aN1","Cool","Wet","LLL_0515",3.49,2014-05-15,3
"1265","603","MM7-7","M","2","Wawona","192aC2","Cool","Wet","LLL_0515",1.1,2014-05-15,3
"1266","604","MM7-7","N","2","West Fork Mojave River","WFM9","Cool","Wet","LLL_0515",3.29,2014-05-15,3
"1268","606","MM7-7","B","3","Cottonwood Creek","355a","Cool","Wet","LLL_0515",6.74,2014-05-15,3
"1269","607","MM7-7","C","3","Cuyamaca Rancho","CUR1","Cool","Wet","LLL_0515",4.47,2014-05-15,3
"1270","608","MM7-7","D","3","Deep Creek","DPC1","Cool","Wet","LLL_0515",2.53,2014-05-15,3
"1271","609","MM7-7","E","3","Grade Road Palomar","GRP7","Cool","Wet","LLL_0515",2.15,2014-05-15,3
"1273","611","MM7-7","G","3","Little Jameson","LIJ5","Cool","Wet","LLL_0515",3.1,2014-05-15,3
"1274","613","MM7-7","I","3","Mill Creek","MIL7","Cool","Wet","LLL_0515",5.15,2014-05-15,3
"1275","614","MM7-7","J","3","North Fork Middle Tule","NMT6","Cool","Wet","LLL_0515",3.65,2014-05-15,3
"1276","615","MM7-7","K","3","Paradise Creek","PRD3","Cool","Wet","LLL_0515",2.33,2014-05-15,3
"1277","616","MM7-7","L","3","Rainbow Pool","RBW3","Cool","Wet","LLL_0515",6.88,2014-05-15,3
"1278","617","MM7-7","M","3","Redwood Creek","RWD1","Cool","Wet","LLL_0515",4.21,2014-05-15,3
"1279","618","MM7-7","N","3","Rock Creek","006aN1","Cool","Wet","LLL_0515",3.67,2014-05-15,3
"1280","619","MM7-7","A","4","Wawona","190aC2","Cool","Wet","LLL_0515",1.24,2014-05-15,3
"1281","620","MM7-7","B","4","West Fork Mojave River","WFM5","Cool","Wet","LLL_0515",3.34,2014-05-15,3
"1282","621","MM7-7","C","4","Whitewater Canyon","WWC11","Cool","Wet","LLL_0515",5.55,2014-05-15,3
"1283","623","MM7-7","E","4","Cuyamaca Rancho","CUR5","Cool","Wet","LLL_0515",2.42,2014-05-15,3
"1284","624","MM7-7","F","4","Deep Creek","DPC3","Cool","Wet","LLL_0515",8.84,2014-05-15,3
"1285","625","MM7-7","G","4","Grade Road Palomar","GRP3","Cool","Wet","LLL_0515",3.15,2014-05-15,3
"1286","626","MM7-7","H","4","Hauser Creek","HAU11","Cool","Wet","LLL_0515",3.09,2014-05-15,3
"1288","628","MM7-7","J","4","Middle Yuba","MYU3","Cool","Wet","LLL_0515",6.15,2014-05-15,3
"1289","629","MM7-7","K","4","Mill Creek","MIL9","Cool","Wet","LLL_0515",4.88,2014-05-15,3
"1290","630","MM7-7","L","4","North Fork Middle Tule","NMT7","Cool","Wet","LLL_0515",2.36,2014-05-15,3
"1291","631","MM7-7","M","4","Paradise Creek","PRD6","Cool","Wet","LLL_0515",2.8,2014-05-15,3
"1292","632","MM7-7","N","4","Rainbow Pool","RBW3","Cool","Wet","LLL_0515",6.41,2014-05-15,3
"1293","633","MM7-7","A","5","Redwood Creek","RWD9","Cool","Wet","LLL_0515",5.23,2014-05-15,3
"1294","634","MM7-7","B","5","Rock Creek","009aN1","Cool","Wet","LLL_0515",3.22,2014-05-15,3
"1295","635","MM7-7","C","5","Wawona","184aC2","Cool","Wet","LLL_0515",1.02,2014-05-15,3
"1296","636","MM7-7","D","5","West Fork Mojave River","WFM3","Cool","Wet","LLL_0515",2.89,2014-05-15,3
"1298","638","MM7-7","F","5","Cottonwood Creek","356a","Cool","Wet","LLL_0515",4.5,2014-05-15,3
"1299","639","MM7-7","G","5","Cuyamaca Rancho","CUR9","Cool","Wet","LLL_0515",5.16,2014-05-15,3
"1300","640","MM7-7","H","5","Deep Creek","DPC1","Cool","Wet","LLL_0515",3.75,2014-05-15,3
"1301","641","MM7-7","J","5","Hauser Creek","HAU7","Cool","Wet","LLL_0515",3.34,2014-05-15,3
"1302","642","MM7-7","K","5","Little Jameson","LIJ1","Cool","Wet","LLL_0515",2.02,2014-05-15,3
"1303","643","MM7-7","L","5","Middle Yuba","MYU3","Cool","Wet","LLL_0515",1.2,2014-05-15,3
"1304","644","MM7-7","M","5","Mill Creek","MIL3","Cool","Wet","LLL_0515",3.74,2014-05-15,3
"1305","645","MM7-7","N","5","North Fork Middle Tule","NMT2","Cool","Wet","LLL_0515",0.9,2014-05-15,3
"1306","646","MM7-7","A","6","Paradise Creek","PRD7","Cool","Wet","LLL_0515",5.34,2014-05-15,3
"1307","647","MM7-7","B","6","Rainbow Pool","RBW3","Cool","Wet","LLL_0515",3.88,2014-05-15,3
"1308","648","MM7-7","C","6","Redwood Creek","RWD2","Cool","Wet","LLL_0515",6.95,2014-05-15,3
"1309","649","MM7-7","D","6","Rock Creek","014aN1","Cool","Wet","LLL_0515",2.36,2014-05-15,3
"1310","650","MM7-7","E","6","Wawona","188aC2","Cool","Wet","LLL_0515",6.29,2014-05-15,3
"1311","651","MM7-7","F","6","West Fork Mojave River","WFM1","Cool","Wet","LLL_0515",4.55,2014-05-15,3
"1312","652","MM7-7","G","6","Whitewater Canyon","WWC5","Cool","Wet","LLL_0515",5.3,2014-05-15,3
"1314","654","MM7-7","I","6","Cuyamaca Rancho","CUR7","Cool","Wet","LLL_0515",3.34,2014-05-15,3
"1315","655","MM7-7","J","6","Deep Creek","DPC3","Cool","Wet","LLL_0515",2.38,2014-05-15,3
"1317","657","MM7-7","M","6","Little Jameson","LIJ9","Cool","Wet","LLL_0515",2.92,2014-05-15,3
"1318","658","MM7-7","A","7","Mill Creek","MIL11","Cool","Wet","LLL_0515",6.33,2014-05-15,3
"1319","659","MM7-7","C","7","Paradise Creek","PRD1","Cool","Wet","LLL_0515",3.07,2014-05-15,3
"1320","660","MM7-7","D","7","Rainbow Pool","RBW1","Cool","Wet","LLL_0515",0.95,2014-05-15,3
"1321","661","MM7-7","E","7","Redwood Creek","RWD5","Cool","Wet","LLL_0515",3.07,2014-05-15,3
"1322","662","MM7-7","F","7","Rock Creek","004aN1","Cool","Wet","LLL_0515",2.86,2014-05-15,3
"1323","663","MM7-7","G","7","Wawona","182aC2","Cool","Wet","LLL_0515",2.68,2014-05-15,3
"1324","664","MM7-7","H","7","West Fork Mojave River","WFM7","Cool","Wet","LLL_0515",3.7,2014-05-15,3
"1325","665","MM7-7","J","7","Cottonwood Creek","370a","Cool","Wet","LLL_0515",2.72,2014-05-15,3
"1326","666","MM7-7","K","7","Cuyamaca Rancho","CUR11","Cool","Wet","LLL_0515",4.39,2014-05-15,3
"1327","667","MM7-7","L","7","Deep Creek","DPC5","Cool","Wet","LLL_0515",4.29,2014-05-15,3
"1328","672","MM7-7","I","7","Whitewater Canyon","WWC1","Cool","Wet","LLL_0515",2.77,2014-05-15,3
"1329","673","MM7-8","A","1","Deep Creek","DPC2","Cool","Wet","LLL_0515",1.96,2014-05-15,3
"1330","674","MM7-8","B","1","Grade Road Palomar","GRP6","Cool","Wet","LLL_0515",6.54,2014-05-15,3
"1331","675","MM7-8","C","1","Hauser Creek","HAU4","Cool","Wet","LLL_0515",4.14,2014-05-15,3
"1332","677","MM7-8","E","1","Middle Yuba","MYU2","Cool","Wet","LLL_0515",2.29,2014-05-15,3
"1333","678","MM7-8","F","1","Mill Creek","MIL2","Cool","Wet","LLL_0515",3.34,2014-05-15,3
"1334","679","MM7-8","G","1","North Fork Middle Tule","NMT1","Cool","Wet","LLL_0515",3.78,2014-05-15,3
"1335","680","MM7-8","H","1","Paradise Creek","PRD7","Cool","Wet","LLL_0515",12.77,2014-05-15,3
"1336","681","MM7-8","I","1","Rainbow Pool","RBW2","Cool","Wet","LLL_0515",5.04,2014-05-15,3
"1337","682","MM7-8","J","1","Redwood Creek","RWD7","Cool","Wet","LLL_0515",3.86,2014-05-15,3
"1338","685","MM7-8","M","1","West Fork Mojave River","WFM12","Cool","Wet","LLL_0515",4.6,2014-05-15,3
"1339","686","MM7-8","N","1","Whitewater Canyon","WWC12","Cool","Wet","LLL_0515",2.78,2014-05-15,3
"1340","687","MM7-8","A","2","Cottonwood Creek","362a","Cool","Wet","LLL_0515",1.34,2014-05-15,3
"1341","688","MM7-8","B","2","Cuyamaca Rancho","CUR8","Cool","Wet","LLL_0515",2.07,2014-05-15,3
"1342","689","MM7-8","C","2","Deep Creek","DPC2","Cool","Wet","LLL_0515",4.53,2014-05-15,3
"1343","690","MM7-8","D","2","Grade Road Palomar","GRP4","Cool","Wet","LLL_0515",5.22,2014-05-15,3
"1344","691","MM7-8","E","2","Hauser Creek","HAU2","Cool","Wet","LLL_0515",1.24,2014-05-15,3
"1345","692","MM7-8","F","2","Little Jameson","LIJ6","Cool","Wet","LLL_0515",1.86,2014-05-15,3
"1346","694","MM7-8","H","2","Mill Creek","MIL6","Cool","Wet","LLL_0515",5.14,2014-05-15,3
"1347","695","MM7-8","I","2","North Fork Middle Tule","NMT3","Cool","Wet","LLL_0515",4.55,2014-05-15,3
"1348","696","MM7-8","J","2","Paradise Creek","PRD4","Cool","Wet","LLL_0515",3.4,2014-05-15,3
"1349","697","MM7-8","K","2","Rainbow Pool","RBW2","Cool","Wet","LLL_0515",3.21,2014-05-15,3
"1351","699","MM7-8","M","2","Rock Creek","015aN1","Cool","Wet","LLL_0515",1.91,2014-05-15,3
"1352","700","MM7-8","N","2","Wawona","187aC2","Cool","Wet","LLL_0515",4.46,2014-05-15,3
"1353","702","MM7-8","B","3","Whitewater Canyon","WWC2","Cool","Wet","LLL_0515",4.14,2014-05-15,3
"1354","703","MM7-8","C","3","Cottonwood Creek","348a","Cool","Wet","LLL_0515",4.91,2014-05-15,3
"1355","704","MM7-8","D","3","Cuyamaca Rancho","CUR12","Cool","Wet","LLL_0515",1.75,2014-05-15,3
"1357","706","MM7-8","F","3","Grade Road Palomar","GRP2","Cool","Wet","LLL_0515",3.59,2014-05-15,3
"1358","707","MM7-8","G","3","Hauser Creek","HAU6","Cool","Wet","LLL_0515",3.29,2014-05-15,3
"1359","708","MM7-8","H","3","Little Jameson","LIJ12","Cool","Wet","LLL_0515",1.24,2014-05-15,3
"1360","709","MM7-8","I","3","Middle Yuba","MYU6","Cool","Wet","LLL_0515",0.97,2014-05-15,3
"1362","711","MM7-8","K","3","North Fork Middle Tule","NMT8","Cool","Wet","LLL_0515",2.57,2014-05-15,3
"1363","712","MM7-8","L","3","Paradise Creek","PRD2","Cool","Wet","LLL_0515",3.5,2014-05-15,3
"1364","713","MM7-8","M","3","Rainbow Pool","RBW2","Cool","Wet","LLL_0515",11.24,2014-05-15,3
"1365","714","MM7-8","N","3","Redwood Creek","RWD1","Cool","Wet","LLL_0515",0.85,2014-05-15,3
"1367","716","MM7-8","B","4","Wawona","191aC2","Cool","Wet","LLL_0515",3.97,2014-05-15,3
"1368","717","MM7-8","C","4","West Fork Mojave River","WFM6","Cool","Wet","LLL_0515",5.23,2014-05-15,3
"1369","718","MM7-8","D","4","Whitewater Canyon","WWC10","Cool","Wet","LLL_0515",2.61,2014-05-15,3
"1370","719","MM7-8","E","4","Cottonwood Creek","361a","Cool","Wet","LLL_0515",5.72,2014-05-15,3
"1371","720","MM7-8","F","4","Cuyamaca Rancho","CUR6","Cool","Wet","LLL_0515",4.06,2014-05-15,3
"1372","721","MM7-8","G","4","Deep Creek","DPC4","Cool","Wet","LLL_0515",1.92,2014-05-15,3
"1373","722","MM7-8","H","4","Grade Road Palomar","GRP2","Cool","Wet","LLL_0515",4.09,2014-05-15,3
